variable,label,units,type,reference
fr_Ndealkylation2,"Number of tert-alicyclic amines (no heteroatoms, not quinine-like bridged N)",,count,
fr_Nhpyrrole,Number of H-pyrrole nitrogens,,count,
fr_SH,Number of thiol groups,,count,
fr_aldehyde,Number of aldehydes,,count,
fr_alkyl_carbamate,Number of alkyl carbamates (subject to hydrolysis),,count,
fr_alkyl_halide,Number of alkyl halides,,count,
fr_allylic_oxid,Number of allylic oxidation sites excluding steroid dienone,,count,
fr_amide,Number of amides,,count,
fr_amidine,Number of amidine groups,,count,
fr_aniline,Number of anilines,,count,
fr_aryl_methyl,Number of aryl methyl sites for hydroxylation,,count,
fr_azide,Number of azide groups,,count,
fr_azo,Number of azo groups,,count,
fr_barbitur,Number of barbiturate groups,,count,
fr_benzene,Number of benzene rings,,count,
fr_benzodiazepine,Number of benzodiazepines with no additional fused rings,,count,
fr_bicyclic,Number of Bicyclic groups,,count,
fr_diazo,Number of diazo groups,,count,
fr_dihydropyridine,Number of dihydropyridines,,count,
fr_epoxide,Number of epoxide rings,,count,
fr_ester,Number of esters,,count,
fr_ether,Number of ether oxygens (including phenoxy),,count,
fr_furan,Number of furan rings,,count,
fr_guanido,Number of guanidine groups,,count,
fr_halogen,Number of halogens,,count,
fr_hdrzine,Number of hydrazine groups,,count,
fr_hdrzone,Number of hydrazone groups,,count,
fr_imidazole,Number of imidazole rings,,count,
fr_imide,Number of imide groups,,count,
fr_isocyan,Number of isocyanates,,count,
fr_isothiocyan,Number of isothiocyanates,,count,
fr_ketone,Number of ketones,,count,
fr_ketone_Topliss,"Number of ketones excluding diaryl, a,b-unsat. dienones, heteroatom on Calpha",,count,
fr_lactam,Number of beta lactams,,count,
fr_lactone,Number of cyclic esters (lactones),,count,
fr_methoxy,Number of methoxy groups -OCH3,,count,
fr_morpholine,Number of morpholine rings,,count,
fr_nitrile,Number of nitriles,,count,
fr_nitro,Number of nitro groups,,count,
fr_nitro_arom,Number of nitro benzene ring substituents,,count,
fr_nitro_arom_nonortho,Number of non-ortho nitro benzene ring substituents,,count,
fr_nitroso,"Number of nitroso groups, excluding NO2",,count,
fr_oxazole,Number of oxazole rings,,count,
fr_oxime,Number of oxime groups,,count,
fr_para_hydroxylation,Number of para-hydroxylation sites,,count,
fr_phenol,Number of phenols,,count,
fr_phenol_noOrthoHbond,Number of phenolic OH excluding ortho intramolecular Hbond substituents,,count,
fr_phos_acid,Number of phosphoric acid groups,,count,
fr_phos_ester,Number of phosphoric ester groups,,count,
fr_piperdine,Number of piperdine rings,,count,
fr_piperzine,Number of piperzine rings,,count,
fr_priamide,Number of primary amides,,count,
fr_prisulfonamd,Number of primary sulfonamides,,count,
fr_pyridine,Number of pyridine rings,,count,
fr_quatN,Number of quarternary nitrogens,,count,
fr_sulfide,Number of thioether,,count,
fr_sulfonamd,Number of sulfonamides,,count,
fr_sulfone,Number of sulfone groups,,count,
fr_term_acetylene,Number of terminal acetylenes,,count,
fr_tetrazole,Number of tetrazole rings,,count,
fr_thiazole,Number of thiazole rings,,count,
fr_thiocyan,Number of thiocyanates,,count,
fr_thiophene,Number of thiophene rings,,count,
fr_unbrch_alkane,Number of unbranched alkanes of at least 4 members (excludes halogenated alkanes),,count,
fr_urea,Number of urea groups,,count,
